normal_variable,positive_skew_variable,negative_skew_variable
54.97,11.53,59.23
48.62,5.8,16.66
56.48,1.3,45.21
65.23,6.84,57.78
47.66,0.35,59.94
47.66,24.0,43.1
65.79,2.99,47.73
57.67,10.86,46.94
45.31,3.74,45.25
55.43,7.34,59.23
45.37,7.91,55.56
45.34,2.04,58.77
52.42,34.93,40.11
30.87,14.92,50.24
32.75,28.05,55.98
44.38,22.52,59.34
39.87,9.11,56.28
53.14,25.49,56.07
40.92,0.93,46.92
35.88,2.18,49.85
64.66,0.46,38.18
47.74,3.94,53.61
50.68,4.92,58.73
35.75,3.17,47.51
44.56,17.65,45.7
51.11,4.41,51.76
38.49,3.3,45.26
53.76,7.82,53.19
43.99,1.52,52.6
47.08,16.2,54.42
